ISO3_code,date,NCU_to_USD,source
PNG,3/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/01/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/02/2022,0.29,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/02/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/02/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/02/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/02/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/02/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/02/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/03/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/04/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
